"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"04-27 Day","NO_UP_HIGH1","D16_20",100,3.9,100,5.6,100,8,100,14.8,80,2.9,100,4,100,6.6,100,13.2,0,-1.1,60,0.3,100,2.6,100,4.8
"04-27 Day","NO_UP_HIGH1","Z21~all",98.3,2.4,92.3,4.3,89.5,5.2,89,7.1,80.7,1.7,79,2.6,80.1,3.7,81.8,5.3,0,-1,34.8,-1,50.3,0,53,0.4
"04-27 Day","NO_UP_HIGH16","A1_5",100,5.2,100,7.5,100,10.5,100,12.4,100,4.5,100,5.7,100,9.1,100,10.2,0,-0.5,100,2.5,100,5.3,80,5.4
"04-27 Day","NO_UP_HIGH16","B6_10",100,4.2,100,6.8,100,8.7,100,10.5,100,3.7,80,4.4,100,7.4,100,8.4,0,-0.6,40,1.3,80,3.8,40,4.2
"04-27 Day","NO_UP_HIGH16","C11_15",100,4.5,100,5.7,100,6,100,9.6,80,3.9,80,4.2,100,5,100,7.9,0,-0.7,40,0.2,40,1.6,60,1.3
"04-27 Day","NO_UP_HIGH16","D16_20",100,1.4,100,4.6,100,5,100,5.5,40,0.7,80,3.3,80,4.4,80,3.9,0,-1.3,20,-0.6,60,1.6,60,1
"04-27 Day","NO_UP_HIGH16","Z21~all",97.8,2.5,91.2,4.3,89,5.2,88.4,7.2,81.2,1.7,79,2.6,79.6,3.6,81.2,5.4,0,-1,35.4,-1,50.8,0,52.5,0.3
"04-27 Day","RE_RANK","A1_5",100,6.8,100,9.4,100,11.3,100,13.7,100,5.8,80,6.5,100,9.7,100,10.7,0,-0.4,80,3,80,5.8,40,5.8
"04-27 Day","RE_RANK","B6_10",100,4.8,100,7.9,100,11.2,100,11.8,100,4.3,100,6.2,100,9.8,100,9.2,0,-0.7,60,1.4,80,5.1,80,3.3
"04-27 Day","RE_RANK","C11_15",100,3.5,100,4.9,100,7.5,100,9.4,80,2.8,100,4.1,100,6.7,100,8.3,0,-0.7,60,1.4,100,3.4,80,3.2
"04-27 Day","RE_RANK","D16_20",100,3.1,100,5.5,100,5.2,80,5.3,80,2.7,100,3.5,80,3.6,80,3.4,0,-0.5,60,0.6,80,1.5,80,0.7
"04-27 Day","RE_RANK","Z21~all",97.8,2.4,91.2,4.2,89,5,89,7.2,80.1,1.7,77.9,2.5,79.6,3.5,81.2,5.3,0,-1,33.7,-1.1,49.2,-0.1,51.4,0.3
"04-27 Day","RE_RANK_UP","A1_5",100,6.8,100,9.4,100,11.3,100,13.7,100,5.8,80,6.5,100,9.7,100,10.7,0,-0.4,80,3,80,5.8,40,5.8
"04-27 Day","RE_RANK_UP","B6_10",100,4.7,100,7.1,100,10,100,12.3,100,4.3,100,5.7,100,8.7,100,10.3,0,-0.4,80,1.8,80,4.6,80,4
"04-27 Day","RE_RANK_UP","C11_15",100,2.5,100,5.5,100,7.9,100,6.9,80,2.1,100,4,100,6.6,100,5.1,0,-0.8,40,0.6,100,3,80,2
"04-27 Day","RE_RANK_UP","D16_20",100,3.9,100,5.4,80,4.1,60,5.4,80,3.3,100,3.6,60,2.9,60,3.9,0,-1,60,-0.8,60,0.2,60,-0.2
"04-27 Day","RE_RANK_UP","Z21~all",97.8,2.4,91.2,4.2,89.5,5.1,89.5,7.2,80.1,1.7,77.9,2.5,80.1,3.6,81.8,5.4,0,-1,33.7,-1.1,49.7,-0.1,51.9,0.3
