"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"08-15 Day","RE_RANK","Z21~all",98.9,1.1,97.2,2.3,94.3,3.3,86.4,2.8,59.7,0.4,86.4,1.7,89.8,2.6,81.2,1.8,0,-0.7,25.6,-0.6,50.6,-0.1,75,1.2
"08-15 Day","RE_RANK_UP","A1_5",100,1.1,80,3.2,100,4,100,4.5,80,0.7,80,2.7,100,3.4,100,3.6,0,-0.4,40,-0.4,80,1.5,100,3.2
"08-15 Day","RE_RANK_UP","B6_10",100,2.4,100,3.6,100,4.5,100,3.8,60,1.1,100,2.8,100,4.1,60,2.8,0,-0.7,60,0,60,0.6,60,2.3
"08-15 Day","RE_RANK_UP","C11_15",100,1,80,1.9,100,2.4,100,2.8,80,0.5,80,1.5,100,1.9,80,1.9,0,-0.8,60,-0.3,40,-0.5,80,1.4
"08-15 Day","RE_RANK_UP","D16_20",100,0.7,100,1.9,100,4,80,3.9,40,0.1,100,1.6,100,3.7,80,3.2,0,-0.6,20,-0.6,60,0.9,80,2.7
"08-15 Day","RE_RANK_UP","Z21~all",98.9,1.1,97.2,2.3,94.3,3.3,85.8,2.8,60.8,0.4,86.4,1.8,89.2,2.6,80.7,1.8,0,-0.7,26.7,-0.6,50.6,-0.1,74.4,1.1
"08-16 Day","NO_UP_HIGH1","A1_5",100,0.9,100,1.8,100,2.6,NA,NA,80,0.7,80,1.3,100,1.7,NA,NA,0,-0.2,40,-0.4,20,-0.4,NA,NA
"08-16 Day","NO_UP_HIGH1","B6_10",100,0.5,100,2.1,100,2.8,NA,NA,60,-0.1,100,1.6,80,2.1,NA,NA,0,-0.9,60,0,60,0,NA,NA
"08-16 Day","NO_UP_HIGH1","C11_15",100,1,100,2.5,100,3.1,NA,NA,80,0.8,100,2,100,2.4,NA,NA,0,-0.4,60,0.1,80,0.8,NA,NA
"08-16 Day","NO_UP_HIGH1","D16_20",80,0.7,100,2.7,100,3.3,NA,NA,60,0.3,100,2.3,80,2.1,NA,NA,0,-0.5,40,-0.3,60,-0.4,NA,NA
"08-16 Day","NO_UP_HIGH1","Z21~all",96,0.9,98.9,2.5,94.9,3.4,NA,NA,67,0.3,93.2,1.9,85.8,2.4,NA,NA,0,-0.6,33.5,-0.4,48.9,-0.5,NA,NA
"08-16 Day","NO_UP_HIGH16","A1_5",80,1,100,3,100,4.4,NA,NA,80,0.7,100,2.5,100,3.4,NA,NA,0,-0.5,60,0.5,60,0.6,NA,NA
"08-16 Day","NO_UP_HIGH16","B6_10",80,0.5,100,1.9,100,3.2,NA,NA,80,0.4,100,1.4,100,2.3,NA,NA,0,-0.7,40,-0.5,40,-0.1,NA,NA
"08-16 Day","NO_UP_HIGH16","C11_15",100,0.9,100,3.7,100,4.7,NA,NA,100,0.6,100,3.3,100,4.1,NA,NA,0,-0.3,80,1.1,80,1.5,NA,NA
"08-16 Day","NO_UP_HIGH16","D16_20",100,0.9,100,1.6,100,3.5,NA,NA,80,0.2,80,1.2,80,2.7,NA,NA,0,-0.6,40,-0.3,40,-0.2,NA,NA
"08-16 Day","NO_UP_HIGH16","Z21~all",96.6,0.9,98.9,2.5,94.9,3.3,NA,NA,65.3,0.3,93.2,1.9,85.2,2.2,NA,NA,0,-0.6,33,-0.5,48.9,-0.5,NA,NA
"08-16 Day","RE_RANK","A1_5",100,1.2,100,3.3,100,4,NA,NA,100,0.8,100,2.9,100,3,NA,NA,0,-0.6,80,0.8,60,0.8,NA,NA
"08-16 Day","RE_RANK","B6_10",100,0.6,100,2.3,100,2.5,NA,NA,60,-0.1,100,1.8,80,1.6,NA,NA,0,-0.7,40,0.1,20,-0.1,NA,NA
"08-16 Day","RE_RANK","C11_15",80,0.9,100,4.3,100,5.1,NA,NA,80,0.7,100,3.6,80,3.7,NA,NA,0,-0.8,80,1,80,0.9,NA,NA
"08-16 Day","RE_RANK","D16_20",80,1.5,100,3.1,100,5.8,NA,NA,40,1,100,2.6,100,5.1,NA,NA,0,-0.8,40,0.1,80,1.1,NA,NA
"08-16 Day","RE_RANK","Z21~all",96.6,0.8,98.9,2.4,94.9,3.2,NA,NA,67,0.3,92.6,1.8,85.8,2.2,NA,NA,0,-0.6,32.4,-0.5,48.3,-0.5,NA,NA
"08-16 Day","RE_RANK_UP","A1_5",100,1.2,100,3.3,100,4,NA,NA,100,0.8,100,2.9,100,3,NA,NA,0,-0.6,80,0.8,60,0.8,NA,NA
"08-16 Day","RE_RANK_UP","B6_10",80,0.8,100,3,100,4.5,NA,NA,80,0.6,100,2.7,100,3.9,NA,NA,0,-0.3,40,0.2,60,0.8,NA,NA
"08-16 Day","RE_RANK_UP","C11_15",100,0.6,100,1.8,100,1.7,NA,NA,40,-0.2,100,1.2,80,0.6,NA,NA,0,-0.8,40,-0.4,20,-0.7,NA,NA
"08-16 Day","RE_RANK_UP","D16_20",80,1.4,100,3.6,100,6.8,NA,NA,40,0.8,100,3.2,100,6.1,NA,NA,0,-1,40,0.7,100,2,NA,NA
"08-16 Day","RE_RANK_UP","Z21~all",96.6,0.8,98.9,2.4,94.9,3.2,NA,NA,67.6,0.3,92.6,1.9,85.2,2.2,NA,NA,0,-0.6,33.5,-0.5,48.3,-0.5,NA,NA
"08-17 Day","NO_UP_HIGH1","A1_5",100,1.4,100,3,100,3.7,NA,NA,80,1,100,2.2,100,2.9,NA,NA,0,-0.4,60,-0.1,60,0.5,NA,NA
"08-17 Day","NO_UP_HIGH1","B6_10",100,0.8,60,1.2,100,2.6,NA,NA,60,0.3,60,0.7,80,1.8,NA,NA,0,-0.3,0,-1.1,40,0,NA,NA
