"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"03-03 Day","NO_UP_HIGH1","Z21~all",89.2,5.1,93.5,16.4,90.3,18.2,NA,NA,33.3,-0.1,81.7,8.6,87.1,13.5,NA,NA,0,-10,6.5,-8.9,51.6,1.9,NA,NA
"03-03 Day","NO_UP_HIGH16","A1_5",80,5.1,40,0.1,60,3.7,NA,NA,20,-1.9,0,-3.9,40,1.5,NA,NA,0,-7.9,0,-15.2,0,-6.5,NA,NA
"03-03 Day","NO_UP_HIGH16","B6_10",100,13.5,100,12.4,80,35.6,NA,NA,60,6.4,80,7.2,60,26.6,NA,NA,0,-6.7,0,-14.4,40,-4.2,NA,NA
"03-03 Day","NO_UP_HIGH16","C11_15",80,2.7,100,3.7,80,7.7,NA,NA,20,-2.4,40,-1.7,60,4.6,NA,NA,0,-9.6,0,-12.9,20,-4.5,NA,NA
"03-03 Day","NO_UP_HIGH16","D16_20",100,2.5,80,32.1,80,16.5,NA,NA,40,-0.7,80,21.3,80,12.2,NA,NA,0,-7.7,20,-5.8,80,7.1,NA,NA
"03-03 Day","NO_UP_HIGH16","Z21~all",87.1,5,93.5,16.4,92.5,17.8,NA,NA,31.2,-0.3,81.7,8.3,89.2,13,NA,NA,0,-10.2,5.4,-9,50.5,1.8,NA,NA
"03-03 Day","RE_RANK","A1_5",80,5.1,40,0.1,60,3.7,NA,NA,20,-1.9,0,-3.9,40,1.5,NA,NA,0,-7.9,0,-15.2,0,-6.5,NA,NA
"03-03 Day","RE_RANK","B6_10",100,13.9,100,11.8,100,38.9,NA,NA,60,6.6,80,6.6,80,29.4,NA,NA,0,-6.1,0,-14.6,40,-3.8,NA,NA
"03-03 Day","RE_RANK","C11_15",100,4,100,6,60,4.8,NA,NA,40,-0.7,60,1,40,2,NA,NA,0,-8.3,0,-11.7,40,-4.1,NA,NA
"03-03 Day","RE_RANK","D16_20",80,9.8,80,9.8,80,9.2,NA,NA,20,3.8,40,3.4,40,6.1,NA,NA,0,-9.9,20,-10.9,20,-1.9,NA,NA
"03-03 Day","RE_RANK","Z21~all",87.1,4.6,93.5,17.5,92.5,18.2,NA,NA,31.2,-0.7,82.8,9.1,91.4,13.3,NA,NA,0,-10.2,5.4,-8.8,52.7,2.3,NA,NA
"03-03 Day","RE_RANK_UP","A1_5",80,5.1,40,0.1,60,3.7,NA,NA,20,-1.9,0,-3.9,40,1.5,NA,NA,0,-7.9,0,-15.2,0,-6.5,NA,NA
"03-03 Day","RE_RANK_UP","B6_10",100,13.1,100,12.3,100,30.7,NA,NA,40,6.4,80,6.9,80,21.7,NA,NA,0,-5.8,0,-13,60,-3.5,NA,NA
"03-03 Day","RE_RANK_UP","C11_15",100,3.7,80,4.2,60,11.8,NA,NA,40,-2.1,40,-0.7,40,8.7,NA,NA,0,-8.6,0,-13.9,20,-4.6,NA,NA
"03-03 Day","RE_RANK_UP","D16_20",80,2.3,80,5.7,80,6.4,NA,NA,20,-2.2,40,2.2,40,2.5,NA,NA,0,-10.8,0,-12.7,20,-4.8,NA,NA
"03-03 Day","RE_RANK_UP","Z21~all",87.1,5,94.6,17.8,92.5,18.4,NA,NA,32.3,-0.3,83.9,9.3,91.4,13.5,NA,NA,0,-10.1,6.5,-8.7,52.7,2.4,NA,NA
"03-04 Day","NO_UP_HIGH1","A1_5",100,2.8,100,7.7,100,20.4,NA,NA,40,-0.6,100,4.8,100,16.2,NA,NA,0,-4.1,0,-11.9,60,0.3,NA,NA
"03-04 Day","NO_UP_HIGH1","B6_10",100,4,100,9.1,80,9.7,NA,NA,40,-1.4,80,2.9,80,3.5,NA,NA,0,-6.4,0,-15.5,80,-2.8,NA,NA
"03-04 Day","NO_UP_HIGH1","C11_15",100,7.5,100,31.7,100,17.9,NA,NA,60,1.9,80,21.6,80,12.6,NA,NA,0,-4.2,20,-7.7,60,7.7,NA,NA
"03-04 Day","NO_UP_HIGH1","D16_20",100,2.8,100,7.7,80,8.1,NA,NA,80,1.1,40,2.8,60,5.1,NA,NA,0,-2.7,0,-8.1,40,0,NA,NA
"03-04 Day","NO_UP_HIGH1","Z21~all",97.8,9.3,95.7,18.9,93.5,17.2,NA,NA,87.1,5.2,87.1,10,91.4,13.2,NA,NA,0,-3.1,8.6,-7.6,66.7,4.2,NA,NA
"03-04 Day","NO_UP_HIGH16","A1_5",100,4,100,5.5,100,6.4,NA,NA,40,-1.7,40,2.7,80,3.5,NA,NA,0,-4.5,0,-13.5,20,-2.3,NA,NA
"03-04 Day","NO_UP_HIGH16","B6_10",100,2.4,100,5.6,80,7.9,NA,NA,20,-2.8,80,0,80,1.5,NA,NA,0,-7.3,0,-16.7,40,-5.6,NA,NA
"03-04 Day","NO_UP_HIGH16","C11_15",100,6.7,100,37.8,100,28.7,NA,NA,80,4,100,25.1,100,25.3,NA,NA,0,-3.3,20,-7.3,100,10.4,NA,NA
"03-04 Day","NO_UP_HIGH16","D16_20",100,20.1,100,33.7,100,40,NA,NA,75,15.8,100,19.1,100,34.8,NA,NA,0,-3.7,25,-2.2,75,9.4,NA,NA
"03-04 Day","NO_UP_HIGH16","Z21~all",97.9,8.6,95.7,17.6,92.6,16,NA,NA,87.2,4.6,86.2,9.3,89.4,12,NA,NA,0,-3,7.4,-7.8,67,3.9,NA,NA
"03-04 Day","RE_RANK","A1_5",100,1.9,100,6.8,100,9.9,NA,NA,20,-3,80,4.7,100,6.1,NA,NA,0,-5.3,0,-13.1,40,0.2,NA,NA
"03-04 Day","RE_RANK","B6_10",100,4.1,100,9.7,100,18.7,NA,NA,40,-0.6,60,4.2,80,15.5,NA,NA,0,-4.2,0,-12,20,-1.8,NA,NA
"03-04 Day","RE_RANK","C11_15",100,3.2,100,7.1,80,15.1,NA,NA,60,-0.8,60,1,60,7.8,NA,NA,0,-6.6,0,-18.1,40,-5.2,NA,NA
"03-04 Day","RE_RANK","D16_20",100,5.4,100,8.4,100,9.7,NA,NA,100,3.2,80,5.5,80,6.8,NA,NA,0,-2,0,-8.3,80,1,NA,NA
"03-04 Day","RE_RANK","Z21~all",97.8,9.4,95.7,20.2,92.5,17.3,NA,NA,87.1,5.3,88.2,10.9,91.4,13.3,NA,NA,0,-3,9.7,-7.2,69.9,4.7,NA,NA
"03-04 Day","RE_RANK_UP","A1_5",100,1.9,100,6.8,100,9.9,NA,NA,20,-3,80,4.7,100,6.1,NA,NA,0,-5.3,0,-13.1,40,0.2,NA,NA
"03-04 Day","RE_RANK_UP","B6_10",100,4.3,100,8,80,5.8,NA,NA,40,-1.4,40,0.5,60,0.9,NA,NA,0,-6.3,0,-17.1,20,-6.2,NA,NA
"03-04 Day","RE_RANK_UP","C11_15",100,2.6,100,6.6,100,24.4,NA,NA,60,-0.8,60,2.3,60,19.3,NA,NA,0,-4.4,0,-12.9,40,-2.7,NA,NA
"03-04 Day","RE_RANK_UP","D16_20",100,4.3,100,9.8,100,12.3,NA,NA,100,3.2,80,7.2,100,8.4,NA,NA,0,-2.5,0,-8.9,60,3.1,NA,NA
"03-04 Day","RE_RANK_UP","Z21~all",97.8,9.5,95.7,20.2,92.5,17.4,NA,NA,87.1,5.4,89.2,10.9,91.4,13.3,NA,NA,0,-3,9.7,-7.2,71,4.7,NA,NA
